pkg_name,repo_url,dependent_repo_count
requests,https://github.com/kennethreitz/requests,152228
six,https://github.com/benjaminp/six,117110
Flask,https://github.com/pallets/flask,116300
Django,https://github.com/django/django,115375
numpy,https://github.com/numpy/numpy,84861
Jinja2,https://github.com/pallets/jinja,83979
pytz,https://github.com/stub42/pytz,77468
pytest,https://github.com/pytest-dev/pytest,65292
MarkupSafe,https://github.com/pallets/markupsafe,63975
gunicorn,https://github.com/benoitc/gunicorn,61046
Werkzeug,https://github.com/pallets/werkzeug,59832
psycopg2,https://github.com/psycopg/psycopg2,59606
python-dateutil,https://github.com/dateutil/dateutil,58314
PyYAML,https://github.com/yaml/pyyaml,57168
Pillow,https://github.com/python-pillow/Pillow,55713
Sphinx,https://github.com/sphinx-doc/sphinx,52268
coverage,https://github.com/nedbat/coveragepy,50171
click,https://github.com/mitsuhiko/click,45823
mock,https://github.com/testing-cabal/mock,45503
itsdangerous,https://github.com/mitsuhiko/itsdangerous,45192
scipy,https://github.com/scipy/scipy,43431
SQLAlchemy,https://github.com/sqlalchemy/sqlalchemy,41746
nose,https://github.com/nose-devs/nose,41691
certifi,,38870
pandas,https://github.com/pandas-dev/pandas,38392
matplotlib,https://github.com/matplotlib/matplotlib,38169
wsgiref,,36994
urllib3,https://github.com/urllib3/urllib3,36750
chardet,https://github.com/chardet/chardet,36133
idna,https://github.com/kjd/idna,35067
flake8,https://gitlab.com/pycqa/flake8,34281
Pygments,https://bitbucket.org/birkenfeld/pygments-main,33557
lxml,https://github.com/lxml/lxml,33185
ipython,https://github.com/ipython/ipython,31961
beautifulsoup4,,30833
wheel,https://github.com/pypa/wheel,30602
pyparsing,https://github.com/pyparsing/pyparsing,29511
setuptools,https://github.com/pypa/setuptools,28965
argparse,https://github.com/ThomasWaldmann/argparse,26035
Flask-SQLAlchemy,https://github.com/pallets/flask-sqlalchemy,25388
docutils,,24751
redis,https://github.com/andymccurdy/redis-py,24719
djangorestframework,https://github.com/encode/django-rest-framework,24595
tornado,https://github.com/tornadoweb/tornado,24078
boto,https://github.com/boto/boto,21939
decorator,https://github.com/micheles/decorator,20999
pytest-cov,https://github.com/pytest-dev/pytest-cov,20723
simplejson,https://github.com/simplejson/simplejson,19317
dj-database-url,https://github.com/kennethreitz/dj-database-url,19014
scikit-learn,https://github.com/scikit-learn/scikit-learn,18944
tox,https://github.com/tox-dev/tox,18200
Babel,,18006
pymongo,https://github.com/mongodb/mongo-python-driver,17931
Markdown,,17926
pylint,https://github.com/PyCQA/pylint,17888
py,,17487
virtualenv,https://github.com/pypa/virtualenv,17119
cryptography,https://github.com/pyca/cryptography,16944
cffi,,16469
colorama,https://github.com/tartley/colorama,15731
httplib2,https://github.com/httplib2/httplib2,15442
jsonschema,https://github.com/Julian/jsonschema,15269
packaging,https://github.com/pypa/packaging,14600
html5lib,https://github.com/html5lib/html5lib-python,14440
Flask-WTF,https://github.com/lepture/flask-wtf,14252
selenium,https://github.com/SeleniumHQ/selenium,14155
celery,https://github.com/celery/celery,14073
gevent,https://github.com/gevent/gevent,14013
