id,access_chain
0,csv.writer(*).writerow(*):7
0,csv.writer(*).writerow:7
0,csv.writer(*):4
0,csv.writer:4
0,csv:2
0,mailbox.mbox(*):6
0,mailbox.mbox:6
0,mailbox:1
1,"re.compile(*):11,12,13,14,15"
1,"re.compile:11,12,13,14,15"
1,re:9
2,traceback.format_exc():21
2,traceback.format_exc:21
2,traceback:1
3,aiohttp.ClientSession().close():53
3,aiohttp.ClientSession().close:53
3,aiohttp.ClientSession().get(*):27
3,aiohttp.ClientSession().get:27
3,aiohttp.ClientSession():8
3,aiohttp.ClientSession:8
3,aiohttp:6
3,asyncio.get_event_loop().run_until_complete(*):22
3,asyncio.get_event_loop().run_until_complete:22
3,asyncio.get_event_loop():21
3,asyncio.get_event_loop:21
3,asyncio.wait(*):22
3,asyncio.wait:22
3,asyncio:2
3,requests.get(*).status:28
3,requests.get(*).status_code:33
3,requests.get(*):32
3,requests.get:32
3,requests:3
3,threading.Thread(target=*):12
3,threading.Thread:4
3,"timeit.timeit(*,number=*):45,46,47"
3,timeit.timeit:1
4,"tensorflow.float32:22,25,31"
4,"tensorflow.gradients(*,*):35"
4,tensorflow.gradients:35
4,"tensorflow.multiply(*,*):15"
4,tensorflow.multiply:15
4,"tensorflow.norm(*,ord=*):36"
4,tensorflow.norm:36
4,"tensorflow.ones(*):39,40"
4,"tensorflow.ones:39,40"
4,"tensorflow.placeholder(*,shape=*):22,25,31"
4,"tensorflow.placeholder:22,25,31"
4,tensorflow.reduce_mean(*):15
4,tensorflow.reduce_mean:15
4,tensorflow.square(*):36
4,tensorflow.square:36
4,tensorflow:7
5,PIL.Image.open(*).astype(*):14
5,PIL.Image.open(*).astype:14
5,PIL.Image.open(*).max():12
5,PIL.Image.open(*).max:12
5,PIL.Image.open(*).min():11
5,PIL.Image.open(*).min:11
5,PIL.Image.open(*).resize(*):10
5,PIL.Image.open(*).resize:10
5,PIL.Image.open(*).size:9
5,PIL.Image.open(*):8
5,PIL.Image.open:8
5,PIL.Image:1
5,numpy.asarray(*).size:12
5,"numpy.asarray(*):3,10"
5,"numpy.asarray:3,10"
5,"numpy.sum(*,axis=*).astype(*):14"
5,"numpy.sum(*,axis=*).astype:14"
5,"numpy.sum(*,axis=*).max():12"
5,"numpy.sum(*,axis=*).max:12"
5,"numpy.sum(*,axis=*).min():11"
5,"numpy.sum(*,axis=*).min:11"
5,"numpy.sum(*,axis=*).resize(*):10"
5,"numpy.sum(*,axis=*).resize:10"
5,"numpy.sum(*,axis=*).size:9"
5,"numpy.sum(*,axis=*):10"
5,numpy.sum:10
5,numpy:1
5,"sys.argv:5,6"
5,sys.exit():5
5,sys.exit:5
5,sys:1
6,gi.repository.GExiv2.Metadata(*).save_file():34
6,gi.repository.GExiv2.Metadata(*).save_file:34
6,gi.repository.GExiv2.Metadata(*):30
6,gi.repository.GExiv2.Metadata:30
6,gi.repository.GExiv2:24
6,os.path.getctime(*):28
6,os.path.getctime:28
6,"os.path.join(*,*):43"
6,os.path.join:43
6,"os.utime(*,*):35"
6,os.utime:35
6,os.walk(*):40
6,os.walk:40
6,os:19
6,time.localtime(*):29
6,time.localtime:29
6,"time.strftime(*,*):29"
6,time.strftime:29
6,time:20
7,casadi.DMatrix(*).reshape(*).reshape:10
7,casadi.DMatrix(*).reshape(*).size1():10
7,casadi.DMatrix(*).reshape(*).size1:10
7,casadi.DMatrix(*).reshape(*).sparsity():15
7,casadi.DMatrix(*).reshape(*).sparsity:15
7,casadi.DMatrix(*).reshape(*):10
7,casadi.DMatrix(*).reshape:10
7,casadi.DMatrix(*).size1():10
7,casadi.DMatrix(*).size1:10
7,casadi.DMatrix(*).sparsity():15
7,casadi.DMatrix(*).sparsity:15
7,"casadi.DMatrix(*):5,6,7,8,9,11,12"
7,"casadi.DMatrix:5,6,7,8,9,11,12"
7,"casadi.QpSolver(*,*).evaluate():40"
7,"casadi.QpSolver(*,*).evaluate:40"
7,"casadi.QpSolver(*,*).getOutput(*):43"
7,"casadi.QpSolver(*,*).getOutput:43"
7,"casadi.QpSolver(*,*).init():28"
7,"casadi.QpSolver(*,*).init:28"
7,"casadi.QpSolver(*,*).setInput(*,*):31,32,33,34,35,36,37"
7,"casadi.QpSolver(*,*).setInput:31,32,33,34,35,36,37"
7,"casadi.QpSolver(*,*).setOption(*,*):22"
7,"casadi.QpSolver(*,*).setOption:22"
7,"casadi.QpSolver(*,*):19,21"
7,"casadi.QpSolver:19,21"
7,"casadi.qpStruct(a=*,h=*):15"
7,casadi.qpStruct:15
7,casadi:2
7,numpy.array(*):43
7,numpy.array:43
7,numpy.zeros(*):3
7,numpy.zeros:3
7,numpy:1
8,graphite.Graphite(*).Graphite:5
8,"graphite.Graphite(*).send_metric(*,*,*):23"
8,graphite.Graphite(*).send_metric:23
8,graphite.Graphite(*):19
8,graphite.Graphite:5
8,"json.loads(*):12,16"
8,"json.loads:12,16"
8,json:4
8,"requests.get(*).text:12,16"
8,requests:3
9,contextlib.contextmanager:1
9,"django.conf.settings.DEBUG:19,23"
9,django.conf.settings:3
9,django.db.connection.queries:20
9,django.db.connection:4
10,__future__.unicode_literals:2
10,"django.db.migrations.AddField(field=*,model_name=*,name=*):30"
10,django.db.migrations.AddField:30
10,"django.db.migrations.AlterField(field=*,model_name=*,name=*):36,50"
10,"django.db.migrations.AlterField:36,50"
10,django.db.migrations.Migration:16
10,"django.db.migrations.RemoveField(*,*):44"
10,django.db.migrations.RemoveField:44
10,"django.db.migrations.RenameField(model_name=*,new_name=*,old_name=*):45"
10,django.db.migrations.RenameField:45
10,"django.db.migrations.RunPython(*,*):35"
10,django.db.migrations.RunPython.noop:35
10,django.db.migrations.RunPython:35
10,django.db.migrations:5
10,"django.db.models.UUIDField(default=*,editable=*,primary_key=*,serialize=*,unique=*):53"
10,"django.db.models.UUIDField(default=*,editable=*,serialize=*,unique=*):39"
10,django.db.models.UUIDField(null=*):33
10,"django.db.models.UUIDField:33,39,53"
10,django.db.models:5
10,uuid.uuid4():12
10,"uuid.uuid4:12,39,53"
10,uuid:3
11,"requests.auth.OAuth1(*,*,*,*,signature_type=*):11,14,17"
11,requests.auth.OAuth1:2
11,"requests.get(*,auth=*):21,22"
11,"requests.get:21,22"
11,"requests.post(*,auth=*):23"
11,requests.post:23
11,requests:1
12,"CoreFoundation.CFPreferencesCopyAppValue(*,*):6"
12,CoreFoundation.CFPreferencesCopyAppValue:6
12,"CoreFoundation.CFPreferencesSetAppValue(*,*,*):47"
12,CoreFoundation.CFPreferencesSetAppValue:47
12,CoreFoundation:2
12,Foundation.NSDate.date():42
12,Foundation.NSDate.date:42
12,Foundation.NSDate:3
12,Foundation.NSMutableArray.alloc().initWithArray_(*):26
12,Foundation.NSMutableArray.alloc().initWithArray_:26
12,Foundation.NSMutableArray:3
12,"Foundation.NSMutableDictionary.alloc().initWithDictionary_copyItems_(*,*):10,18"
12,"Foundation.NSMutableDictionary.alloc().initWithDictionary_copyItems_:10,18"
12,Foundation.NSMutableDictionary:3
12,plistlib:1
13,flask.sessions.TaggedJSONSerializer():6
13,flask.sessions.TaggedJSONSerializer:4
13,hashlib.sha1:9
13,hashlib:2
