package,version,api,type,success,stdout
urllib3,1.26.7,urllib3.util.resolve_cert_reqs,function,True,OK
urllib3,1.26.7,urllib3._collections.RLock,function,True,OK
urllib3,1.26.7,urllib3.util.ssl_.assert_fingerprint,function,True,OK
urllib3,1.26.7,urllib3.util.SSLContext,class,True,OK
urllib3,1.26.7,urllib3.exceptions.ReadTimeoutError,class,True,OK
urllib3,1.26.7,urllib3.util.connection._set_socket_options,function,True,OK
urllib3,1.26.7,urllib3.util.Retry,class,True,OK
urllib3,1.26.7,urllib3.poolmanager.ProxySchemeUnknown,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.normalize_host,function,True,OK
urllib3,1.26.7,urllib3.util.ssl_._const_compare_digest_backport,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.is_connection_dropped,function,True,OK
urllib3,1.26.7,urllib3.HTTPConnectionPool,class,True,OK
urllib3,1.26.7,urllib3.response.BodyNotHttplibCompatible,class,True,OK
urllib3,1.26.7,urllib3.exceptions.ProxySchemeUnsupported,class,True,OK
urllib3,1.26.7,urllib3.exceptions.SNIMissingWarning,class,True,OK
urllib3,1.26.7,urllib3.util.retry.takewhile,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.BrokenPipeError,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.InsecureRequestWarning,class,True,OK
urllib3,1.26.7,urllib3.exceptions.ConnectionError,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.HTTPResponse,class,True,OK
urllib3,1.26.7,urllib3.exceptions.httplib_IncompleteRead,class,True,OK
urllib3,1.26.7,urllib3.util.request.UnrewindableBodyError,class,True,OK
urllib3,1.26.7,urllib3.connection.HTTPSConnection,class,True,OK
urllib3,1.26.7,urllib3.response.contextmanager,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.parse_url,function,True,OK
urllib3,1.26.7,urllib3._collections.HTTPHeaderDict,class,True,OK
urllib3,1.26.7,urllib3.util.wait.wait_for_read,function,True,OK
urllib3,1.26.7,urllib3.util.response.is_fp_closed,function,True,OK
urllib3,1.26.7,urllib3.response.DeflateDecoder,class,True,OK
urllib3,1.26.7,urllib3._collections.Mapping,class,True,OK
urllib3,1.26.7,urllib3.util.url.get_host,function,True,OK
urllib3,1.26.7,urllib3.util.ssl_.InsecurePlatformWarning,class,True,OK
urllib3,1.26.7,urllib3.util.retry._RetryMeta,class,True,OK
urllib3,1.26.7,urllib3.connection.SocketTimeout,class,True,OK
urllib3,1.26.7,urllib3.exceptions.URLSchemeUnknown,class,True,OK
urllib3,1.26.7,urllib3.response.GzipDecoder,class,True,OK
urllib3,1.26.7,urllib3.ProxyManager,class,True,OK
urllib3,1.26.7,urllib3.connection.create_proxy_ssl_context,function,True,OK
urllib3,1.26.7,urllib3.connection_from_url,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.VerifiedHTTPSConnection,class,True,OK
urllib3,1.26.7,urllib3.disable_warnings,function,True,OK
urllib3,1.26.7,urllib3.poolmanager.parse_url,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.EmptyPoolError,class,True,OK
urllib3,1.26.7,urllib3.connection.ConnectTimeoutError,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.RequestMethods,class,True,OK
urllib3,1.26.7,urllib3.connectionpool.get_host,function,True,OK
urllib3,1.26.7,urllib3.exceptions.ProxyError,class,True,OK
urllib3,1.26.7,urllib3.util.url._encode_invalid_chars,function,True,OK
urllib3,1.26.7,urllib3.response.InvalidChunkLength,class,True,OK
urllib3,1.26.7,urllib3.util.parse_url,function,True,OK
botocore,1.23.17,botocore.NullHandler,class,True,OK
botocore,1.23.17,botocore.xform_name,function,True,OK
boto3,1.20.20,boto3.docs.waiter.add_resource_type_overview,function,True,OK
boto3,1.20.20,boto3.docs.action.document_load_reload_action,function,True,OK
boto3,1.20.20,boto3.resources.response.build_identifiers,function,True,OK
boto3,1.20.20,boto3._warn_deprecated_python,function,True,OK
boto3,1.20.20,boto3.docs.resource.xform_name,function,True,OK
boto3,1.20.20,boto3.resources.action.BatchAction,class,True,OK
boto3,1.20.20,boto3.resources.model.Collection,class,True,OK
boto3,1.20.20,boto3.session.DataNotFoundError,class,True,OK
boto3,1.20.20,boto3.docs.subresource.get_identifier_args_for_signature,function,True,OK
boto3,1.20.20,boto3.docs.client.ClientDocumenter,class,True,OK
boto3,1.20.20,boto3.docs.collection.get_instance_public_methods,function,True,OK
