package,version,api,type,success,stdout
urllib3,1.26.7,urllib3.util.url._encode_invalid_chars,function,True,OK
urllib3,1.26.7,urllib3.util.ssl_.is_ipaddress,function,True,OK
urllib3,1.26.7,urllib3.packages.six.ensure_text,function,True,OK
urllib3,1.26.7,urllib3.util.wait.select_wait_for_socket,function,True,OK
urllib3,1.26.7,urllib3.response.GzipDecoder,class,True,OK
urllib3,1.26.7,urllib3.contrib.pyopenssl.WrappedSocket,class,False,FAIL: No module named 'OpenSSL'
urllib3,1.26.7,urllib3.contrib._appengine_environ.is_appengine_sandbox,function,True,OK
urllib3,1.26.7,urllib3.packages.backports.makefile.backport_makefile,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.HTTPSConnectionPool,class,True,OK
urllib3,1.26.7,urllib3.util.url._remove_path_dot_segments,function,True,OK
urllib3,1.26.7,urllib3.contrib._securetransport.low_level._create_cfstring_array,function,False,FAIL: Only macOS is supported
urllib3,1.26.7,urllib3.__init__.disable_warnings,function,True,OK
urllib3,1.26.7,urllib3.packages.ssl_match_hostname._implementation.match_hostname,function,True,OK
urllib3,1.26.7,urllib3.util.url.get_host,function,True,OK
urllib3,1.26.7,urllib3.contrib.appengine.AppEnginePlatformError,class,True,OK
urllib3,1.26.7,urllib3.contrib._securetransport.low_level._is_cert,function,False,FAIL: Only macOS is supported
urllib3,1.26.7,urllib3.util.response.is_response_to_head,function,True,OK
urllib3,1.26.7,urllib3.packages.six.python_2_unicode_compatible,function,True,OK
urllib3,1.26.7,urllib3.packages.six.remove_move,function,True,OK
urllib3,1.26.7,urllib3.util.url.parse_url,function,True,OK
urllib3,1.26.7,urllib3.util.proxy.create_proxy_ssl_context,function,True,OK
urllib3,1.26.7,urllib3.connection._match_hostname,function,True,OK
urllib3,1.26.7,urllib3.exceptions.LocationValueError,class,True,OK
urllib3,1.26.7,urllib3.contrib._appengine_environ.is_appengine,function,True,OK
urllib3,1.26.7,urllib3.connectionpool.HTTPConnectionPool,class,True,OK
urllib3,1.26.7,urllib3.contrib._securetransport.low_level._cert_array_from_pem,function,False,FAIL: Only macOS is supported
urllib3,1.26.7,urllib3._collections.RLock,class,False,FAIL: Wrong type
urllib3,1.26.7,urllib3.packages.six._import_module,function,True,OK
urllib3,1.26.7,urllib3.exceptions.SSLError,class,True,OK
urllib3,1.26.7,urllib3.util.request.make_headers,function,True,OK
urllib3,1.26.7,urllib3.util.response.is_fp_closed,function,True,OK
urllib3,1.26.7,urllib3.poolmanager.proxy_from_url,function,True,OK
urllib3,1.26.7,urllib3.contrib.securetransport._read_callback,function,False,FAIL: No module named 'six'
urllib3,1.26.7,urllib3.packages.six.u,function,True,OK
urllib3,1.26.7,urllib3.exceptions.InsecureRequestWarning,class,True,OK
urllib3,1.26.7,urllib3.poolmanager._default_key_normalizer,function,True,OK
urllib3,1.26.7,urllib3._collections.RecentlyUsedContainer,class,True,OK
urllib3,1.26.7,urllib3.packages.six.iteritems,function,True,OK
urllib3,1.26.7,urllib3.connection.DummyConnection,class,True,OK
urllib3,1.26.7,urllib3.contrib.pyopenssl._validate_dependencies_met,function,False,FAIL: No module named 'OpenSSL'
urllib3,1.26.7,urllib3.contrib.appengine.AppEngineManager,class,True,OK
urllib3,1.26.7,urllib3.contrib._appengine_environ.is_prod_appengine_mvms,function,True,OK
urllib3,1.26.7,urllib3.packages.six.assertCountEqual,function,True,OK
urllib3,1.26.7,urllib3.contrib.securetransport.makefile,function,False,FAIL: No module named 'six'
urllib3,1.26.7,urllib3.contrib._securetransport.bindings.CFConst,class,False,FAIL: Only macOS is supported
urllib3,1.26.7,urllib3.util.connection.is_connection_dropped,function,True,OK
urllib3,1.26.7,urllib3.exceptions.DependencyWarning,class,True,OK
urllib3,1.26.7,urllib3.util.queue.LifoQueue,class,True,OK
urllib3,1.26.7,urllib3.packages.six.add_metaclass,function,True,OK
urllib3,1.26.7,urllib3.util.retry.Retry,class,True,OK
botocore,1.23.17,botocore.retryhandler.ServiceErrorCodeChecker,class,True,OK
botocore,1.23.17,botocore.utils.ensure_boolean,function,True,OK
botocore,1.23.17,botocore.utils.get_service_module_name,function,True,OK
botocore,1.23.17,botocore.handlers.handle_copy_source_param,function,True,OK
botocore,1.23.17,botocore.paginate.PageIterator,class,True,OK
botocore,1.23.17,botocore.retries.throttling.CubicCalculator,class,True,OK
botocore,1.23.17,botocore.vendored.six.Module_six_moves_urllib_robotparser,class,True,OK
botocore,1.23.17,botocore.discovery.EndpointDiscoveryException,class,True,OK
botocore,1.23.17,botocore.exceptions.PartialCredentialsError,class,True,OK
botocore,1.23.17,botocore.handlers.check_for_200_error,function,True,OK
botocore,1.23.17,botocore.compat.get_md5,function,True,OK
botocore,1.23.17,botocore.handlers.document_cloudformation_get_template_return_type,function,True,OK
botocore,1.23.17,botocore.exceptions.NoRegionError,class,True,OK
botocore,1.23.17,botocore.vendored.six._SixMetaPathImporter,class,True,OK
botocore,1.23.17,botocore.handlers._looks_like_special_case_error,function,True,OK
botocore,1.23.17,botocore.utils.parse_key_val_file_contents,function,True,OK
botocore,1.23.17,botocore.signers.CloudFrontSigner,class,True,OK
botocore,1.23.17,botocore.compat._windows_shell_split,function,True,OK
botocore,1.23.17,botocore.auth.HmacV1QueryAuth,class,True,OK
botocore,1.23.17,botocore.auth.S3SigV4QueryAuth,class,True,OK
botocore,1.23.17,botocore.parsers.EC2QueryParser,class,True,OK
botocore,1.23.17,botocore.retries.standard.StandardRetryConditions,class,True,OK
botocore,1.23.17,botocore.awsrequest.AWSHTTPResponse,class,True,OK
botocore,1.23.17,botocore.docs.bcdoc.docstringparser.StemNode,class,True,OK
botocore,1.23.17,botocore.retries.standard.ThrottlingErrorDetector,class,True,OK
botocore,1.23.17,botocore.vendored.six._LazyDescr,class,True,OK
botocore,1.23.17,botocore.exceptions.InvalidDNSNameError,class,True,OK
botocore,1.23.17,botocore.vendored.six.ensure_binary,function,True,OK
botocore,1.23.17,botocore.httpsession.where,function,True,OK
botocore,1.23.17,botocore.credentials.create_credential_resolver,function,True,OK
botocore,1.23.17,botocore.exceptions.UnsupportedOutpostResourceError,class,True,OK
botocore,1.23.17,botocore.vendored.requests.exceptions.InvalidURL,class,True,OK
botocore,1.23.17,botocore.exceptions.MetadataRetrievalError,class,True,OK
botocore,1.23.17,botocore.exceptions.CredentialRetrievalError,class,True,OK
botocore,1.23.17,botocore.session.get_session,function,True,OK
botocore,1.23.17,botocore.exceptions.MissingParametersError,class,True,OK
botocore,1.23.17,botocore.utils.parse_timestamp,function,True,OK
botocore,1.23.17,botocore.compat.set_socket_timeout,function,True,OK
botocore,1.23.17,botocore.utils._parse_timestamp_with_tzinfo,function,True,OK
botocore,1.23.17,botocore.docs.bcdoc.style.BaseStyle,class,True,OK
botocore,1.23.17,botocore.vendored.six.with_metaclass,function,True,OK
botocore,1.23.17,botocore.hooks.HierarchicalEmitter,class,True,OK
botocore,1.23.17,botocore.retryhandler.ExceptionRaiser,class,True,OK
botocore,1.23.17,botocore.exceptions._exception_from_packed_args,function,True,OK
botocore,1.23.17,botocore.eventstream.ChecksumMismatch,class,True,OK
botocore,1.23.17,botocore.vendored.requests.exceptions.ConnectTimeout,class,True,OK
botocore,1.23.17,botocore.parsers.ResponseParser,class,True,OK
