package,version,api,dynamic_type,extracted_type
urllib3,1.26.7,urllib3.HTTPConnectionPool,Class,Class
urllib3,1.26.7,urllib3.HTTPResponse,Class,Class
urllib3,1.26.7,urllib3.HTTPSConnectionPool,Class,Class
urllib3,1.26.7,urllib3.PoolManager,Class,Class
urllib3,1.26.7,urllib3.ProxyManager,Class,Class
urllib3,1.26.7,urllib3.Retry,Class,Class
urllib3,1.26.7,urllib3.Timeout,Class,Class
urllib3,1.26.7,urllib3._collections,Package,Package
urllib3,1.26.7,urllib3._version,Package,Package
urllib3,1.26.7,urllib3.absolute_import,Variable,Variable
urllib3,1.26.7,urllib3.add_stderr_logger,Function,Function
urllib3,1.26.7,urllib3.connection,Package,Package
urllib3,1.26.7,urllib3.connection_from_url,Function,Function
urllib3,1.26.7,urllib3.connectionpool,Package,Package
urllib3,1.26.7,urllib3.contrib,Package,Package
urllib3,1.26.7,urllib3.disable_warnings,Function,Function
urllib3,1.26.7,urllib3.encode_multipart_formdata,Function,Function
urllib3,1.26.7,urllib3.exceptions,Package,Package
urllib3,1.26.7,urllib3.fields,Package,Package
urllib3,1.26.7,urllib3.filepost,Package,Package
urllib3,1.26.7,urllib3.get_host,Function,Function
urllib3,1.26.7,urllib3.logging,Package,Package
urllib3,1.26.7,urllib3.make_headers,Function,Function
urllib3,1.26.7,urllib3.packages,Package,Package
urllib3,1.26.7,urllib3.poolmanager,Package,Package
urllib3,1.26.7,urllib3.proxy_from_url,Function,Function
urllib3,1.26.7,urllib3.request,Package,Package
urllib3,1.26.7,urllib3.response,Package,Package
urllib3,1.26.7,urllib3.util,Package,Package
urllib3,1.26.7,urllib3.warnings,Package,Package
botocore,1.23.17,botocore.BOTOCORE_ROOT,Variable,Variable
botocore,1.23.17,botocore.NullHandler,Class,Class
botocore,1.23.17,botocore.ScalarTypes,Variable,Variable
botocore,1.23.17,botocore.UNSIGNED,Variable,Class
botocore,1.23.17,botocore._end_cap_regex,Variable,Variable
botocore,1.23.17,botocore._first_cap_regex,Variable,Variable
botocore,1.23.17,botocore._special_case_transform,Variable,Variable
botocore,1.23.17,botocore._xform_cache,Variable,Variable
botocore,1.23.17,botocore.log,Variable,Variable
botocore,1.23.17,botocore.logging,Package,Package
botocore,1.23.17,botocore.os,Package,Package
botocore,1.23.17,botocore.re,Package,Package
